song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 02,13,3,3.333,D#4,63,ɪ,derived from Bozeman tenor-mezzo (stand-in),0.167,close,D4,0.96,below primo,-4,-11,none,not assessed,short,leap-down,-3,no,2,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 02,13,3,3.667,F#4,66,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.167,close,E4,1.5,below primo,-1,-8,none,not assessed,short,leap-up,3,no,2,middle,yes,yes,yes,highest of phrase; turning pitch 0 to 2 st below
Sunless 02,13,3,4,F4,65,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.167,close,E4,0.5,below primo,-2,-9,none,not assessed,short,step,-1,no,2,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 02,13,3,4.333,F4,65,i,Bozeman tenor-mezzo midpoint (stand-in),0.167,above,E3,12.5,below primo,-2,-9,none,not assessed,short,repeated,0,no,2,middle,no,no,no,
Sunless 02,13,3,4.667,F#4,66,ɪ,derived from Bozeman tenor-mezzo (stand-in),0.167,close,D4,3.96,below primo,-1,-8,none,not assessed,short,step,1,no,2,middle,yes,yes,yes,highest of phrase
Sunless 02,13,4,1,D#4,63,o,Bozeman tenor-mezzo midpoint (stand-in),0.25,close,C#4,2.5,below primo,-4,-11,none,not assessed,short,leap-down,-3,no,2,last,no,no,no,
Sunless 02,13,4,2,D#4,63,o,Bozeman tenor-mezzo midpoint (stand-in),0.5,close,C#4,2.5,below primo,-4,-11,none,not assessed,short,repeated,0,yes,3,first,no,no,no,
Sunless 02,13,4,3,D4,62,u,Bozeman tenor-mezzo midpoint (stand-in),0.5,close,G3,7.5,below primo,-5,-12,none,not assessed,short,step,-1,no,3,middle,no,no,no,
Sunless 02,13,4,4,D4,62,ʌ,derived from Bozeman tenor-mezzo (stand-in),0.375,open,E4,-2.5,below primo,-5,-12,none,not assessed,short,repeated,0,no,3,middle,no,no,no,
Sunless 02,13,4,4.75,D4,62,i,Bozeman tenor-mezzo midpoint (stand-in),0.125,close,E3,9.5,below primo,-5,-12,none,not assessed,short,repeated,0,no,3,middle,no,no,no,
